State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,00060,Adams Central Community Schools,"9,038","2,490",645
IN,18,00120,Alexandria Community School Corporation,"8,643","1,480",392
IN,18,00150,Anderson Community School Corporation,"70,341","10,523","3,152"
IN,18,00180,Argos Community Schools,"3,805",714,121
IN,18,00210,Attica Consolidated School Corporation,"4,805",814,165
IN,18,00270,Avon Community School Corporation,"50,371","10,265",508
IN,18,00330,Barr-Reeve Community School Corporation,"5,697","1,454",240
IN,18,00360,Bartholomew County School Corporation,"75,940","13,040","1,770"
IN,18,00390,Batesville Community School Corporation,"11,933","2,284",204
IN,18,00420,Baugo Community Schools,"9,788","2,027",174
IN,18,00450,Beech Grove City Schools,"14,550","2,657",681
IN,18,00480,Benton Community School Corporation,"11,001","2,083",293
IN,18,00570,Blackford County Schools,"11,976","1,947",384
IN,18,00600,Bloomfield School District,"6,728","1,074",187
IN,18,00660,Blue River Valley Schools,"6,605",717,102
IN,18,00720,Bluffton-Harrison Metropolitan School District,"8,630","1,530",222
IN,18,00750,Boone Township Metropolitan School District,"6,310","1,072",125
IN,18,00900,Bremen Public Schools,"8,798","1,820",170
IN,18,00960,Brown County County School Corporation,"15,035","2,165",319
IN,18,01020,Brownsburg Community School Corporation,"45,368","9,267",394
IN,18,01050,Brownstown Central Community School Corporation,"10,737","1,935",205
IN,18,01060,C. A. Beard Memorial School Corporation,"7,898","1,328",190
IN,18,01170,Cannelton City Schools,"1,542",270,76
IN,18,01200,Carmel Clay Schools,"98,212","20,666",506
IN,18,01290,Carroll Consolidated School Corporation,"6,531","1,102",92
IN,18,01410,Caston School Corporation,"4,475",776,101
IN,18,01440,Center Grove Community School Corporation,"44,741","8,841",453
IN,18,01560,Centerville-Abington Community Schools,"8,178","1,583",277
IN,18,01710,Central Noble Community School Corporation,"8,740","1,457",169
IN,18,02880,City of East Chicago School District,"29,072","5,881","2,486"
IN,18,01890,Clark-Pleasant Community School Corporation,"35,567","6,803",750
IN,18,01920,Clarksville Community School Corporation,"9,700","1,452",308
IN,18,00840,Clay Community Schools,"25,489","4,277",692
IN,18,02130,Clinton Central School Corporation,"5,213","1,046",133
IN,18,02160,Clinton Prairie School Corporation,"5,655",972,124
IN,18,02220,Cloverdale Community Schools,"7,377","1,164",211
IN,18,02400,Concord Community Schools,"26,704","5,126",662
IN,18,02430,Covington Community School Corporation,"5,298",850,112
IN,18,07020,Cowan Community School Corporation,"3,650",621,66
IN,18,02440,Crawford County Community School Corporation,"10,948","1,812",406
IN,18,02460,Crawfordsville Community Schools,"15,730","2,398",511
